"","LID","License Number","License Type","Status","Licensee","Premises","Premises Address","Premises Mailing Address","Premises Owner","Premises Manager","County","Municipality","Last Issue Date","Expiration Date","lon","lat"
"1","126888","AB58312","Alcohol Beverage","Active","SPRUCE STREET BEVERAGES LLC","SPRUCE STREET BEVERAGES LLC","3450 SALMON ST 1ST FL, PHILADELPHIA PA 19134-6025","3450 SALMON ST 1ST FL, PHILADELPHIA PA 19134-6025",NA,NA,"Philadelphia County","Philadelphia City","Dec 30,2024","Dec 31,2028",-75.0956074,39.9872425
"2","197","AE454","Alcohol Tax-Exempt","Active","NAZARETH HOSPITAL","NAZARETH HOSPITAL","2601 HOLME AVE, PHILADELPHIA PA 19152-2007","2601 HOLME AVE, PHILADELPHIA PA 19152-2007",NA,NA,"Philadelphia County","Philadelphia City","Oct 4,2024","Dec 31,2028",-75.041675,40.0589588
"3","96220","AN40338","Alcohol Non-Beverage","Active","EARTH CRAFT LLC","EARTH CRAFT LLC","1772 FRANKFORD AVE, PHILADELPHIA PA 19125","1772 FRANKFORD AVE, PHILADELPHIA PA 19125",NA,NA,"Philadelphia County","Philadelphia City","Mar 28,2025","Dec 31,2028",-75.1322201,39.9764742
"4","128146","AN59077","Alcohol Non-Beverage","Active","VINTABIO INC","VINTABIO INC","4050 S 26TH ST, PHILADELPHIA PA 19112-1615","4050 S 26TH ST, PHILADELPHIA PA 19112-1615",NA,NA,"Philadelphia County","Philadelphia City","Dec 11,2024","Dec 31,2028",-75.1947253,39.8995315
"5","123331","AN57094","Alcohol Non-Beverage","Active","AMERICAN PHILOSOPHICAL SOCIETY","CONSERVATION LABORATORY","427 CHESTNUT ST, PHILADELPHIA PA 19106-2426","427 CHESTNUT ST, PHILADELPHIA PA 19106-2426",NA,NA,"Philadelphia County","Philadelphia City","Oct 18,2024","Dec 31,2028",-75.1485399,39.9490456
"6","117213","AN53708","Alcohol Non-Beverage","Active","COORDNA BIO INC","CIC PHILADELPHIA","3675 MARKET ST STE 101, PHILADELPHIA PA 19104-2897","3675 MARKET ST, STE 200, PHILADELPHIA PA 19104-2897",NA,NA,"Philadelphia County","Philadelphia City","Sep 11,2024","Dec 31,2028",-75.1951199,39.9566741
"7","83314","AR32588","Airport Restaurant (Liquor)","Active","OTG MANAGEMENT PHL B, LLC","CIBO BISTRO AND WINE BAR","PHILADELPHIA INTERNATIONAL AIRPORT  8500 ESSINGTON AVE  TERMINAL B  SECOND FLOOR, PHILADELPHIA PA 19153-3701","PHILADELPHIA INTERNATIONAL AIRPORT  8500 ESSINGTON AVE  TERMINAL B  SECOND FLOOR, PHILADELPHIA PA 19153-3701","CITY OF PHILADELPHIA","MARIA S SCHMIDT","Philadelphia County","Philadelphia City","Jul 11,2024","Oct 31,2025",-75.2436987,39.8729797
"8","120005","AR56036","Airport Restaurant (Liquor)","Active","AIRPORT DINING INC.","SABRINA'S CAFE","8500 ESSINGTON AVE TERMINAL C -SPACE C5/C6, PHILADELPHIA PA 19153-3755","8500 ESSINGTON AVE TERMINAL C -SPACE C5/C6, PHILADELPHIA PA 19153-3755","MARKETPLACE PHL LLC","LANG T DO-BATTISTA","Philadelphia County","Philadelphia City","Oct 10,2024","Oct 31,2025",-75.2470945,39.8745579
"9","45778","B90","Bonded Warehouse (Liquor)","Active","WORLD WIDE DUTY FREE, LTD","WORLD WIDE DUTY FREE, LTD","1314-16 S HOWARD ST, PHILADELPHIA PA 19147-6130","1314-16 S HOWARD ST, PHILADELPHIA PA 19147-6130","LUIGI ADAMO","CHRISTINA ADAMO","Philadelphia County","Philadelphia City","Sep 4,2024","Dec 31,2025",-75.147154,39.930926
"10","1288","C2481","Club (Liquor)","Active","8 JOLLY GENTS INC.","8 JOLLY GENTS INC.","2711 N 19TH ST, PHILADELPHIA PA 19132-2102","2711 N 19TH ST, PHILADELPHIA PA 19132-2102","FRANKLIN T JOHNSON","GEORGE NESMITH","Philadelphia County","Philadelphia City","Oct 1,2024","Oct 31,2025",-75.162244,39.9955622
"11","1491","C3058","Club (Liquor)","Active","I B P O E OF THE WORLD LEONARD C. IRVIN LODGE 994","I B P O E OF THE WORLD LEONARD C. IRVIN LODGE 994","5034 LANCASTER AVE, PHILADELPHIA PA 19131-4520","5034 LANCASTER AVE, PHILADELPHIA PA 19131-4520","I B P O E OF THE WORLD LEONARD C. IRVIN LODGE 994","SHARNELL PLEASANT","Philadelphia County","Philadelphia City","Oct 31,2024","Oct 31,2025",-75.2236303,39.975501
"12","1468","C2998","Club (Liquor)","Active","PLAYS & PLAYERS CLUB","PLAYS & PLAYERS CLUB","1714-16 DELANCEY ST, PHILADELPHIA PA 19103","1714-16 DELANCEY ST, PHILADELPHIA PA 19103","PLAYS & PLAYERS CLUB","LINDA J GRYN","Philadelphia County","Philadelphia City","Aug 7,2024","Oct 31,2025",-75.1703663,39.9468437
"13","1140","C2011","Club (Liquor)","Active","WILLIAM D. OXLEY POST NO 133 AMERICAN LEGION","WILLIAM D. OXLEY POST NO 133 AMERICAN LEGION","NW COR TORRESDALE AVE & DECATUR ST, PHILADELPHIA PA 19136","NW COR TORRESDALE AVE & DECATUR ST, PHILADELPHIA PA 19136","WILLIAM D. OXLEY POST NO 133 AMERICAN LEGION","MICHELLE TEESDALE","Philadelphia County","Philadelphia City","Aug 8,2024","Oct 31,2025",-75.0386832,40.0283161
"14","827","C1106","Club (Liquor)","Active","POLISH AMERICAN CITIZENS CLUB OF FRANKFORD","POLISH AMERICAN CITIZENS CLUB OF FRANKFORD","2404 ORTHODOX ST, PHILADELPHIA PA 19137-1118","2404 ORTHODOX ST, PHILADELPHIA PA 19137-1118","POLISH AMERICAN CITIZENS CLUB OF FRANKFORD","JASON DEVLIN","Philadelphia County","Philadelphia City","Aug 13,2024","Oct 31,2025",-75.0778419,40.004456
"15","667","C658","Club (Liquor)","Active","AMERICAN LEGION BRIDESBURG POST NO. 821","AMERICAN LEGION BRIDESBURG POST NO. 821","4404 SALMON ST, PHILADELPHIA PA 19137-1607","4404 SALMON ST, PHILADELPHIA PA 19137-1607","AMERICAN LEGION BRIDESBURG POST NO. 821","GARY P ROMAN","Philadelphia County","Philadelphia City","Aug 22,2024","Oct 31,2025",-75.0738247,39.9983786
"16","1780","C3866","Club (Liquor)","Active","PHILADELPHIA FIRE OFFICERS UNION","PHILADELPHIA FIRE OFFICERS UNION","2500-02 LEFEVRE ST, PHILADELPHIA PA 19137","2500-02 LEFEVRE ST, PHILADELPHIA PA 19137","PHILADELPHIA FIRE OFFICERS UNION","CHARLES FULMER","Philadelphia County","Philadelphia City","Aug 7,2024","Oct 31,2025",-75.0745887,40.0029638
"17","1487","C3044","Club (Liquor)","Active","SOCIETA DI MUTUO SOCCORSO MESSINA & PROVINCIA","SOCIETA DI MUTUO SOCCORSO MESSINA & PROVINCIA","1533 S 10TH ST, PHILADELPHIA PA 19147-6328","1533 S 10TH ST, PHILADELPHIA PA 19147-6328",NA,"WALTER E  CICHONSKI","Philadelphia County","Philadelphia City","Aug 19,2024","Oct 31,2025",-75.1613214,39.9297418
"18","534","C263","Club (Liquor)","Active","CHARLES P MCMENAMY POST NO 178 AMERICAN LEGION","CHARLES P MCMENAMY POST NO 178 AMERICAN LEGION","8041-43 FRANKFORD AVE, PHILADELPHIA PA 19136","8041-43 FRANKFORD AVE, PHILADELPHIA PA 19136","CHARLES P MCMENAMY POST NO 178 AMERICAN LEGION","JOSEPH S SKOTARCZA","Philadelphia County","Philadelphia City","Sep 5,2024","Oct 31,2025",-75.0263767,40.0418347
"19","3051","CC902","Catering Club (Liquor)","Active","BALA GOLF CLUB","BALA GOLF CLUB","2200 BELMONT AVE, PHILADELPHIA PA 19131-2604","2200 BELMONT AVE, PHILADELPHIA PA 19131-2604","BALA GOLF CLUB","CHRISTOPHER BARLETTA","Philadelphia County","Philadelphia City","Aug 12,2024","Oct 31,2025",-75.2231106,39.9958734
"20","2881","CC230","Catering Club (Liquor)","Active","PHILADELPHIA CRICKET CLUB","PHILADELPHIA CRICKET CLUB","415 W WILLOW GROVE AVE, PHILADELPHIA PA 19118-4125","415 W WILLOW GROVE AVE, PHILADELPHIA PA 19118-4125","PHILADELPHIA CRICKET CLUB","LINDA COZZI","Philadelphia County","Philadelphia City","Jul 10,2024","Oct 31,2025",-75.2092527,40.0649746
"21","97677","CRR42649","Continuing Care Retirement Community (Liquor)","Active","THE PHILADELPHIA PROTESTANT HOME","THE PHILADELPHIA PROTESTANT HOME","6500 TABOR RD, PHILADELPHIA PA 19111","6500 TABOR RD, PHILADELPHIA PA 19111","THE PHILADELPHIA PROTESTANT HOME","LISA BURKE","Philadelphia County","Philadelphia City","Aug 5,2024","Oct 31,2025",-75.0900413,40.0483826
"22","128743","D1019","Distributor (Malt)","Active","7080 BEVERAGE INC","7080 BEVERAGE INC","442 N 8TH ST, PHILADELPHIA PA 19123","1304 VIRGINIA AVE, HAVERTOWN PA 19083-2020","8TH STREET INVESTMENT GROUP LLC","SUPING HUANG","Philadelphia County","Philadelphia City","May 29,2025","Oct 31,2025",-75.1523318,39.9597444
"23","118587","D866","Distributor (Malt)","Active","SAHAJ 9201 LLC","SAHAJ 9201","9201 FRANKFORD AVE, PHILADELPHIA PA 19114-2823","22 MAGNOLIA WAY, CHADDS FORD PA 19317-9693","RADHEY 9201, LLC","BHUPENDRAKUMAR I PATEL","Philadelphia County","Philadelphia City","Dec 4,2024","Oct 31,2025",-75.0042264,40.054788
"24","100476","D1219","Distributor (Malt)","Active","ENNIE, INC.","ENNIE, INC.","5647-49 WALNUT ST, PHILADELPHIA PA 19139","5647-49 WALNUT ST, PHILADELPHIA PA 19139","VINCENT P PARISI","DANDAN LIN","Philadelphia County","Philadelphia City","Oct 28,2024","Oct 31,2025",-75.234821,39.9585081
"25","118957","D3378","Distributor (Malt)","Active","1824 WEST MONT LLC","MONTGOMERY BEER DISTRIBUTOR","1824 W MONTGOMERY AVE, PHILADELPHIA PA 19121-3139","1824 W MONTGOMERY AVE, PHILADELPHIA PA 19121-3139","IAN LEONARD","RICHARD J WILLIAMS","Philadelphia County","Philadelphia City","Sep 4,2024","Oct 31,2025",-75.164853,39.9810338
"26","71948","D1949","Distributor (Malt)","Active","SAM & D BEVERAGE INC","SAM & D BEVERAGE INC","2352-2354 BONSALL ST, PHILADELPHIA PA 19145-3211","2352-2354 BONSALL ST, PHILADELPHIA PA 19145-3211","SHA LI","SHA LI","Philadelphia County","Philadelphia City","Sep 17,2024","Oct 31,2025",-75.1859158,39.9227877
"27","83558","D1816","Distributor (Malt)","Active","YONG & KYU INC","BREWERS OUTLET","15-17 E GOWEN AVE & 7403 GERMANTOWN AVE, PHILADELPHIA PA 19119","15-17 E GOWEN AVE & 7403 GERMANTOWN AVE, PHILADELPHIA PA 19119","KENNETH & MAX GLANTZ","SUNG JIN PARK","Philadelphia County","Philadelphia City","May 21,2025","Oct 31,2025",-75.1753801,40.0800877
"28","128893","D2838","Distributor (Malt)","Active","CRITTENDEN BEVERAGES INC","CRITTENDEN BEVERAGES INC","7721 CRITTENDEN ST, PHILADELPHIA PA 19118","7721 CRITTENDEN ST, PHILADELPHIA PA 19118","MARKET SQUARE PLAZA I, LLC","CHRISTIAN D ESCOBAR","Philadelphia County","Philadelphia City","Jun 2,2025","Oct 31,2025",-75.1949147,40.0726514
"29","96817","D935","Distributor (Malt)","Active","D CHEN LLC","NORTHEAST BEER DISTRIBUTOR","7324 CASTOR AVE, PHILADELPHIA PA 19152-4205","7324 CASTOR AVE, PHILADELPHIA PA 19152-4205","QIN L CHEN","QIN L CHEN","Philadelphia County","Philadelphia City","Dec 5,2024","Oct 31,2025",-75.0649523,40.0529137
"30","100524","E4577","Eating Place Retail Dispenser (Malt)","Active","SUES MARKET INC","SUES MARKET INC","275 ST JAMES PL, PHILADEDLPHIA PA 19106","275 ST JAMES PL, PHILADEDLPHIA PA 19106","SOCIETY HILL TOWERS OWNERS ASSOCIATION","JAMES J SHIN","Philadelphia County","Philadelphia City","Sep 11,2024","Oct 31,2025",-75.1455032,39.9461845
"31","47820","E283","Eating Place Retail Dispenser (Malt)","Active","2729, INC.","2729, INC.","2729 W GIRARD AVE, PHILADELPHIA PA 19130-1212","2729 W GIRARD AVE, PHILADELPHIA PA 19130-1212",NA,"TONY OV","Philadelphia County","Philadelphia City","Aug 29,2024","Oct 31,2025",-75.181402,39.9745221
"32","51127","E3590","Eating Place Retail Dispenser (Malt)","Active","FIVE STAR DELI, INC.","FIVE STAR DELI, INC.","4204 CHESTER AVE, PHILADELPHIA PA 19104-4416","4204 CHESTER AVE, PHILADELPHIA PA 19104-4416",NA,"VENG CHOING","Philadelphia County","Philadelphia City","Aug 12,2024","Oct 31,2025",-75.2074519,39.9481673
